job_id,tool_id,tool_version,state,memory.max_usage_in_bytes,cpuacct.usage,process_count,galaxy_slots,runtime_seconds,ref_data_size,input_data_size_1,input_data_size_2
60869dd8d1b4adf7,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,17179168768.0000000,12431349049736.0000000,48.0000000,4.0000000,3206.0000000,0,5623417156,5917669619
c2dd2f40c83cfef6,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,48738467840.0000000,29501860117438.0000000,48.0000000,16.0000000,2096.0000000,0,5623417156,5917669619
e873d4ac8c232cfd,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14712832.0000000,117070719.0000000,48.0000000,4.0000000,10.0000000,0,5623417156,5917669619
03cfd5d447994bb8,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,34359713792.0000000,34945435919656.0000000,48.0000000,8.0000000,4534.0000000,0,5623417156,5917669619
c38e38546d9ea714,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,0,0,0,0,0,0,5623417156,5917669619
7314ec69f01d32f0,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,39940329472.0000000,96918720713852.0000000,48.0000000,16.0000000,6223.0000000,0,5623417156,5917669619
a92921dcee6f562e,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,32343019520.0000000,44447250801393.0000000,48.0000000,32.0000000,1564.0000000,0,5623417156,5917669619
01683d93261d238f,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,17178918912.0000000,96533677193.0000000,48.0000000,4.0000000,122.0000000,0,5623417156,5917669619
466a69b55def3f2b,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,17179774976.0000000,114287887169901.0000000,48.0000000,4.0000000,28647.0000000,0,5623417156,5917669619
2920e016540c1f85,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,47911456768.0000000,36725958450148.0000000,48.0000000,16.0000000,2650.0000000,0,5623417156,5917669619
51c5990978d2ff93,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,34358673408.0000000,25364698574660.0000000,48.0000000,8.0000000,3317.0000000,0,5623417156,5917669619
bc6accdab6a56eac,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,17178877952.0000000,88837415903091.0000000,48.0000000,4.0000000,22461.0000000,0,5623417156,5917669619
6ddae04266774292,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14188544.0000000,141398546.0000000,48.0000000,8.0000000,6.0000000,0,5623417156,5917669619
c3978db17a4cddb9,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,17179770880.0000000,17280579271907.0000000,48.0000000,4.0000000,4386.0000000,0,5623417156,5917669619
3af058620d08acd7,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,34359300096.0000000,23152371214009.0000000,48.0000000,8.0000000,3051.0000000,0,5623417156,5917669619
